Filename	start 	value (s)
EM1	s	0.3474648228867091
EM2	s	0.9988674501371089
EM3	s	0.827203983203446
EM4	s	0.8511319988857478
EM5	s	0.8309355337859172
EM6	s	0.897770083701202
EM7	s	0.5611680879114882
EM8	s	0.4585957773200703
EM9	s	0.7681319597798547
EM10	s	0.8128071255627738
EM11	s	0.5738532193930173
EM12	s	0.6380599009822865
EM13	s	0.6405837770794816
EM14	s	0.8837176289324628
EM15	s	0.5977065214367638
EM16	s	0.8947579743796722
EM17	s	0.8672787610829545
EM18	s	0.5298331750197399
EM19	s	0.5305113258581232
EM20	s	0.696871108996251
EM21	s	0.5757342806136697
EM22	s	1.6571967721107188
EM23	s	0.9013680692074201
EM24	s	1.1751915494693363
EM25	s	0.46446405816685493
EM26	s	0.6701198508796284
EM27	s	1.227117542938518
EM28	s	0.47314619045001577
EM29	s	0.7142563771457092
EM30	s	0.657119149150864
EM31	s	0.8734116816775369
EM32	s	0.9550157279464397
EM33	s	0.596290
EM34	s	1.7620326362283827
EM35	s	1.2449422836270647
EM36	s	1.350586279111546
EM37	s	0.8976626249752858
EM38	s	0.6325501013779459
EM39	s	0.682322302544197
EM40	s	1.520917412740343
EM41	s	0.9952145241251307
EM42	s	1.306785262414574
EM43	s	1.1522401947825898
EM44	s	1.234568465321171
EM45	s	1.214039523779556
EM46	s	0.733178
EM47	s	0.9757394856369616
EM48	s	1.1370728580266094
EM49	s	1.228108718334791
EM50	s	1.087926795570888
EM51	s	1.11176696004219
EM52	s	1.3153405352888021
EM53	s	0.8360949429488631
EM54	s	0.5818440688338811
EM55	s	1.8264791757415273
EM56	s	0.9171901924395637
EM57	s	1.183728995947102
EM58	s	1.390430336397805
EM59	s	1.066061090903719
EM60	s	1.1596916843086302
EM61	s	0.9358667409007364
EM62	s	0.7109964179831126
EM63	s	1.610873
EM64	s	0.7707685480756881
EM65	s	1.5138136986749846
EM66	s	1.404057629367378
EM67	s	1.5944114634154172
EM68	s	1.2453355151846555
EM69	s	1.3417679192372531
EM70	s	1.1640569703830852
EM71	s	1.9605598018147854
EM72	s	1.3577854885060225
EM73	s	1.1309647851068492
EM74	s	0.9009252331710654
EM75	s	0.9933914574680208
EM76	s	1.2902674748115883
EM77	s	0.6996614527393731
EM78	s	0.8033021453224367
EM79	s	0.7545665727551099
EM80	s	1.2714956790622687
EM81	s	1.1692871804537428
EM82	s	1.3563473323449653
EM83	s	0.850405248204763
EM84	s	0.8670331414292944
EM85	s	0.832065
EM86	s	1.7335316159073226
EM87	s	1.5892558301909876
EM88	s	1.5788458008395692
EM89	s	0.9509035768492614
EM90	s	1.3391773140409495
EM91	s	1.5887433045237611
EM92	s	2.023599219789289
EM93	s	2.0021040948724544
EM94	s	0.8633771061619087
EM95	s	1.325523817460249
EM96	s	1.2481165344535137
EM97	s	1.3606719032213632
EM98	s	0.8060382055705039
EM99	s	1.2006039051060902
EM100	s	0.9985730184420792
EM101	s	1.9526636000558697
EM102	s	1.1911297084260386
