Filename	start 	value (s)
CA1	s	0.09220141986788384
CA2	s	0.13547356562211643
CA3	s	0.27886374626608895
CA4	s	0.46712868742018554
CA5	s	0.0626032596338563
CA6	s	0.0869159736511789
CA7	s	0.3276970985177319
CA8	s	0.04583147275231018
CA9	s	0.11463882877748593
CA10	s	0.06483682512578222
CA11	s	0.268792754835978
CA12	s	0.04770448269099536
CA13	s	0.3087587114887365
CA14	s	0.21409216882573193
CA15	s	0.1453443983208061
CA16	s	0.200911
CA17	s	0.17723159208145922
CA18	s	0.0899089682790103
CA19	s	0.2786887729463768
CA20	s	0.06711180537168603
CA21	s	0.17155203798454252
CA22	s	0.1835537275712638
CA23	s	0.19970008446811274
CA24	s	0.1453996843272769
CA25	s	0.30593507880096726
CA26	s	0.08213495753860126
CA27	s	0.12515100809337487
CA28	s	0.00435108549781032
CA29	s	0.11573815147394534
CA30	s	0.15156586244981823
CA31	s	0.21336232913248654
CA32	s	0.19295236347205935
CA33	S	0.09871240806680087
CA34	s	0.26149619179408884
CA35	s	0.06655654933849539
CA36	s	0.17456959225382138
CA37	s	0.10271736720318207
CA38	s	0.11424533018328398
CA39	s	0.15938354740905228
CA40	s	0.18457716448784842
CA41	s	0.08438597795939075
CA42	s	0.19933614375098208
CA43	s	0.11724568737948696
CA44	s	0.23507101920782913
CA45	s	0.2946045636995196
CA46	s	0.11294536685408069
CA47	s	0.10833030521132582
CA48	s	0.189213536270047
CA49	s	0.13422162835424892
CA50	s	0.21068197763267985
CA51	s	0.06880179536090503
CA52	s	0.10573431253717988
CA53	s	0.19999543259959054
CA54	s	0.16699888922797346
CA55	s	0.15573809830346466
CA56	s	0.14675441788122984
CA57	s	0.21389620347756547
CA58	s	0.15248131552130648
CA59	s	0.2112003257063716
CA60	s	0.1456066380076373
CA61	s	0.12078409799429023
CA62	s	0.21510360675011458
CA63	s	0.25091082436369067
CA64	s	0.20903620752609775
CA65	s	0.23042475231499576
CA66	s	0.142604
CA67	s	0.2944991826827308
CA68	s	0.3545105026640445
CA69	s	0.24585967274789658
CA70	s	0.18003741553416702
CA71	s	0.22898323815326269
CA72	s	0.3041145649617222
CA73	s	0.2533003508003132
CA74	s	0.284418259806485
CA75	s	0.18078845278292263
CA76	s	0.20680025020428894
CA77	s	0.11676340299101212
CA78	s	0.23379682918189024
CA79	s	0.23634967148569394
CA80	s	0.189366810351824
CA81	s	0.1430931456474287
CA82	s	0.10761241035776116
CA83	s	0.211059766173622
CA84	s	0.27082826281251104
CA85	s	0.1582929026541231
CA86	s	0.19782864425108626
CA87	S	0.07071892992429464
CA88	s	0.2108834269758091
CA89	s	0.15902445411417676
CA90	s	0.2011448613192511
CA91	s	0.20370281198751075
CA92	s	0.190084
CA93	s	0.3675437643911903
CA94	s	0.242506
CA95	s	0.20868787381811596
CA96	s	0.24855672833642767
CA97	S	0.22623441043960724
CA98	S	0.3255323075695418
CA99	S	0.14845686835155925
CA100	s	0.2331807960625449
CA101	s	0.1939437289788085
CA102	s	0.2106753239572872
