Filename	Syllable	Time(s)
CA1	1	0.14584315791241353
CA1	2	0.13141910932766934
CA1	3	0.17469125508190197
CA1	4	0.10417368422315254
CA1	5	0.15706186236721464
CA1	6	0.13782979758755576
CA1	7	0.2836729554999693
CA2	1	0.08974963563840835
CA2	2	0.11859773280789673
CA2	3	0.13302178139264093
CA2	4	0.12500842106778304
CA2	5	0.21315538464121986
CA2	6	0.1586645344321863
CA2	7	0.2948916599547702
CA3	1	0.1706290024377473
CA3	2	0.1108208984904957
CA3	3	0.1759061880801519
CA3	4	0.1301705791793123
CA3	5	0.13544776482171716
CA3	6	0.1073027747288926
CA3	7	0.2867270865706475
CA4	1	0.06731201965854372
CA4	2	0.15760863139561443
CA4	3	0.11328120381559792
CA4	4	0.16745917085784034
CA4	5	0.14447457877931325
CA4	6	0.1723844405889534
CA4	7	0.13134052616301206
CA5	1	0.1160996371598697
CA5	2	0.1328695847496287
CA5	3	0.12254961700208472
CA5	4	0.1019096815069967
CA5	5	0.17672944767669074
CA5	6	0.1599595000869316
CA5	7	0.2438092380357264
CA6	1	0.08345490672557901
CA6	2	0.18743151182630036
CA6	3	0.09439981252565488
CA6	4	0.14638811507601562
CA6	5	0.14228377540098724
CA6	6	0.19837641762637626
CA6	7	0.2243705689015567
CA7	1	0.13759404809358367
CA7	2	0.09459590806433871
CA7	3	0.09459590806433882
CA7	4	0.14791360170060242
CA7	5	0.13587412249241393
CA7	6	0.14619367609943257
CA7	7	0.2700283193836579
CA8	1	0.1418938620965081
CA8	2	0.12383464328422528
CA8	3	0.100615647668433
CA8	4	0.0993257034675557
CA8	5	0.15092347150264962
CA8	6	0.12254469908334786
CA8	7	0.27088828218424277
CA9	1	0.13943246965252726
CA9	2	0.1057763562881241
CA9	3	0.2115527125762483
CA9	4	0.09455765183332299
CA9	5	0.17629392714687364
CA9	6	0.15706186236721464
CA9	7	0.2948916599547703
CA10	1	0.1326317645530306
CA10	2	0.10519070981792086
CA10	3	0.14330328583890667
CA10	4	0.1204357402263152
CA10	5	0.07622515204197167
CA10	6	0.2439204865343093
CA10	7	0.23477346828927248
CA11	1	0.13681028714963617
CA11	2	0.160263479232431
CA11	3	0.13876471982320238
CA11	4	0.1993521327037555
CA11	5	0.1563546138852986
CA11	6	0.14853688319103364
CA11	7	0.3928409673868125
CA12	1	0.12946654028646654
CA12	2	0.16722761453668594
CA12	3	0.17442020010815634
CA12	4	0.08631102685764436
CA12	5	0.24095161664425724
CA12	6	0.18700722485822963
CA12	7	0.35063854660918015
CA13	1	0.08970951577502928
CA13	2	0.19349111245594547
CA13	3	0.11961268770003908
CA13	4	0.1407208090588694
CA13	5	0.08443248543532178
CA13	6	0.21108121358830423
CA13	7	0.22691230460742684
CA14	1	0.12676893244042278
CA14	2	0.07348923619734654
CA14	3	0.20209539954270295
CA14	4	0.09002431434174962
