Filename	start 	value (s)
CB1	s	0.3001691376064912
CB2	s	0.4081600635518943
CB3	s	0.3798695248585272
CB4	s	0.44304402201088167
CB5	s	0.29097927906765275
CB6	s	0.6880349738181726
CB7	s	0.26073909039347226
CB8	s	0.4445341116067749
CB9	s	0.3931118278376457
CB10	s	0.15685021410386493
CB11	s	0.43137239916843506
CB12	s	0.44766252385806116
CB13	s	0.2664582292523804
CB14	s	0.4277532046299848
CB15	s	0.12737720928739799
CB16	s	0.8891884564169549
CB17	s	0.1956946556782959
CB18	s	0.3555686027528413
CB19	s	0.6676094600048154
CB20	s	0.4016348338455534
CB21	s	0.19929987987833547
CB22	s	0.37686918274475717
CB23	s	0.25903236479400865
CB24	s	0.13182222596226226
CB25	s	0.3225406589181458
CB26	s	0.40259042665972705
CB27	s	0.29491119548864814
CB28	s	0.5348823237545345
CB29	s	0.3350288088666402
CB30	s	0.36534246226404876
CB31	s	0.26729890161404746
CB32	s	0.4413962243718818
CB33	s	0.46580506192231974
CB34	s	0.32735935650175446
CB35	s	0.27106446467711726
CB36	s	0.3511043825538217
CB37	s	0.27272095574863064
CB38	s	0.4240870785965937
CB39	s	0.48258334665603225
CB40	s	0.45556557843493845
CB41	s	0.2989331286194157
CB42	s	0.2992785169399355
CB43	s	0.22312281728131358
CB44	s	0.3946154271950657
CB45	s	0.2738348909995214
CB46	2	1.0301476229333473
CB47	s	0.41005595961964236
CB48	s	0.3289042209380923
CB49	s	0.2478721045416833
CB50	s	0.2195093993126874
CB51	s	0.6897801278473925
CB52	s	0.46058685949019923
CB53	s	0.5660540313694585
CB54	s	0.15582073568141694
CB55	s	0.27807057491754783
CB56	s	0.2909064052663985
CB57	s	0.19316552195461925
CB58	s	1.0408554178364888
CB59	s	0.31783453618979923
CB60	s	0.2886820145891973
CB61	s	0.3710473464594648
CB62	s	0.23142224013605198
CB63	s	0.38891510176957145
CB64	s	0.3948389445668747
CB65	s	0.19029544895118167
CB66	s	0.4304118049711398
CB67	s	0.14087981979588637
CB68	s	0.17982119613172215
CB69	s	0.23060929513809644
CB70	s	0.14559366325387654
CB71	s	0.23621892567142438
CB72	s	0.31441179674969727
CB73	s	0.1328125882319263
CB74	s	0.3500226284308179
CB75	s	0.20272757361360724
CB76	s	0.4821235095911546
CB77	s	0.2579420766937756
CB78	s	0.276639500990139
CB79	s	0.3534874145069036
CB80	s	0.22045969507165133
CB81	s	0.39316179962224945
CB82	s	0.3121691549159471
CB83	s	0.2397216629907904
CB84	s	0.2544144873405635
CB85	s	0.16226204733530172
CB86	s	0.36069734359250494
CB87	s	0.09307702983947783
CB88	s	0.39713812989126296
CB89	s	0.4188785366565394
CB90	s	0.3227073908885814
CB91	s	0.14141609270102318
CB92	s	0.28670932926698806
CB93	s	0.26800821960998267
CB94	s	0.35571773920831673
CB95	s	0.3758992368619368
CB96	s	0.3679491548852406
CB97	s	0.15444196441660643
CB98	s	0.2312276296036116
CB99	s	0.49147766704584345
CB100	s	0.26981691786588546
CB101	s	0.23147555141637746
CB102	s	0.2536848822512523
