Filename	Syllable	Time(s)
CB1	1	0.11266855894217148
CB1	2	0.09218336640723118
CB1	3	0.17207561729349818
CB1	4	0.09013484715373721
CB1	5	0.1106200396886774
CB1	6	0.1659300595330161
CB1	7	0.22943415639133113
CB2	1	0.03072774124095945
CB2	2	0.09026273989531836
CB2	3	0.09794467520555827
CB2	4	0.10178564286067826
CB2	5	0.19973031806623642
CB2	6	0.15555919003235752
CB2	7	0.15747967385991712
CB3	1	0.08270817415069942
CB3	2	0.10882654493513089
CB3	3	0.2111234971741538
CB3	4	0.14800410111177786
CB3	5	0.11535613763123875
CB3	6	0.10882654493513089
CB3	7	0.2503010533508008
CB4	1	0.030873571846294245
CB4	2	0.08232952492345147
CB4	3	0.17151984359052386
CB4	4	0.11491829520565089
CB4	5	0.10462710459021962
CB4	6	0.12177908894927192
CB4	7	0.18009583577004995
CB5	1	0.06473405540380556
CB5	2	0.14938628170108975
CB5	3	0.09627115931848007
CB5	4	0.10954993991413242
CB5	5	0.20250140408369943
CB5	6	0.06141436025489244
CB5	7	0.23071881284946072
CB6	1	0.08393303506336258
CB6	2	0.16106068890537129
CB6	3	0.05671151017794773
CB6	4	0.14518146605554605
CB6	5	0.11569148076301317
CB6	6	0.22230911989755486
CB6	7	0.15652376809113555
CB7	1	0.06816513054462003
CB7	2	0.07746037561888641
CB7	3	0.11154294089119648
CB7	4	0.15492075123777282
CB7	5	0.1409778836263732
CB7	6	0.1409778836263733
CB7	7	0.23547954188141473
CB8	1	0.11287136156596489
CB8	2	0.11851492964426313
CB8	3	0.13168325516029233
CB8	4	0.12227730836312856
CB8	5	0.12227730836312867
CB8	6	0.13356444451972505
CB8	7	0.24455461672625733
CB9	1	0.09494360189517126
CB9	2	0.10772447138105973
CB9	3	0.16249962632058157
CB9	4	0.11867950236896396
CB9	5	0.1314603718548526
CB9	6	0.13693788734880474
CB9	7	0.3633418610988284
CB10	1	0.06331147298200243
CB10	2	0.1354571049847494
CB10	3	0.1384018246583309
CB10	4	0.09864810906498062
CB10	5	0.06331147298200235
CB10	6	0.1958238582931705
CB10	7	0.18257261976205352
CB11	1	0.16804114587522345
CB11	2	0.2509414445070004
CB11	3	0.2061304722736076
CB11	4	0.17924388893357168
CB11	5	0.08065975002010739
CB11	6	0.17924388893357168
CB11	7	0.21285211810861648
CB12	1	0.10242596267470128
CB12	2	0.07374669312578497
CB12	3	0.151590424758558
CB12	4	0.159784501772534
CB12	5	0.15978450177253434
CB12	6	0.19870636758892046
CB12	7	0.26630750295422345
CB13	1	0.06311984789615982
CB13	2	0.1485172891674349
