Filename	start 	value (s)
CJ1	s	0.5442231829686287
CJ2	s	0.8804414103177644
CJ3	s	0.6895243373780162
CJ4	s	0.758473709561419
CJ5	s	0.5951291942577225
CJ6	s	0.7017335120275073
CJ7	s	2.018881003419797
CJ8	s	0.8632121248111272
CJ9	s	0.4548154858451624
CJ10	s	0.4996610166860148
CJ11	s	0.5430156388452567
CJ12	s	0.24068086982610698
CJ13	s	0.15521941075169154
CJ14	s	0.12320750608681882
CJ15	s	0.5099882979379918
CJ16	s	0.3431457238569531
CJ17	s	0.372037
CJ18	s	0.20848291207850744
CJ19	s	0.15379094411770527
CJ20	s	0.2553123053295033
CJ21	s	0.3054125005967469
CJ22	s	0.32908787957472024
CJ23	s	0.31178252096182796
CJ24	s	0.29439006640483545
CJ25	s	0.3009036941643777
CJ26	s	0.19717919369493672
CJ27	s	0.11462897477128581
CJ28	s	0.11076321896362812
CJ29	s	0.12141919813512214
CJ30	s	0.11795007818840438
CJ31	s	0.12128468846316413
CJ32	s	0.11753676834458322
CJ33	s	0.3218627043445894
CJ35	s	0.12236020693437413
CJ36	s	0.13882171297228882
CJ37	s	0.1303843050314209
CJ38	s	0.2984551027006341
CJ39	s	0.14624961526802768
CJ40	s	0.1226361194332243
CJ41	s	0.3388428116154318
CJ42	s	0.11090089576082615
CJ43	s	0.12010800828575853
CJ44	s	0.10225827673455415
CJ45	s	0.11754434460496128
CJ46	s	0.1227973633682377
CJ47	s	0.09612020171793256
CJ48	s	0.3881987945517683
CJ49	s	0.1354748378497859
CJ50	s	0.15768660131365833
CJ51	s	0.2904614648963368
CJ52	s	0.12152889865936675
CJ53	s	0.2007960507190267
CJ54	s	0.11871633619500176
CJ55	s	0.12514699769335474
CJ56	s	0.12289135246727206
CJ57	s	0.27606955100177805
CJ58	s	0.16869111951279056
CJ59	s	0.11431943485444614
CJ60	s	0.12003634431464147
CJ61	s	0.12141919813512214
CJ62	s	0.15859867128228594
CJ63	s	0.13498393343758452
CJ64	s	0.11970255415454252
CJ65	s	0.12102007825438614
CJ66	s	0.11445394452640416
CJ67	s	0.11833982089441014
CJ68	s	0.12022680653250631
CJ69	s	0.12370033561436213
CJ70	s	0.11405730866546424
CJ71	s	0.29427567729322573
CJ72	s	0.12624512074470912
CJ73	s	0.10842144035111619
CJ74	s	0.10658351410399271
CJ75	s	0.1571994229311511
CJ76	s	0.40704135776522055
CJ77	s	0.10269543316841771
CJ78	s	0.21787952426363366
CJ79	s	0.1879774528628134
CJ80	s	0.12128468846316413
CJ81	s	0.12815912009808772
CJ82	s	0.2386490347836516
CJ83	s	0.10927727832160991
CJ84	s	0.09766995061846272
CJ85	s	0.2775118039456325
CJ86	s	0.34298764704717966
CJ87	s	0.2584643090990033
CJ88	s	0.11012429802182755
CJ89	s	0.228356064055108
CJ90	s	0.44038898197494314
CJ91	s	0.18241076449978633
CJ92	s	0.4449370669703381
CJ93	s	0.10547216364722417
CJ94	s	0.17604639527974136
CJ95	s	0.3300188280937981
CJ96	s	0.11864655475994834
CJ97	s	0.21634304831217616
CJ98	s	0.2094729428336659
CJ99	s	0.5455714537252864
CJ100	s	0.10290822051419986
CJ101	s	0.15389154691944673
CJ102	s	0.1268312562658429
