Filename	start 	value (s)
FL1	s	0.5012769533152847
FL2	s	0.6109556677527976
FL3	s	0.22376574190353582
FL4	s	0.44603891762342357
FL5	s	0.4580168014819957
FL6	s	0.26553183226000293
FL7	s	0.41804840378101643
FL8b	s	0.547876931500133
FL9b	s	0.33938559941783514
FL10	s	0.37115077402329283
FL11	s	0.6479870883536276
FL12	s	0.25883483620569325
FL13	s	0.33254365070831376
FL14	s	0.4528773993861125
FL15	s	0.715070491426221
FL16	s	0.5879862961737903
FL17	s	0.21267209048155217
FL18	s	0.518121162325803
FL19	s	0.737845979961036
FL20	s	0.5099242958762108
FL21	s	0.41601058208643704
FL22	s	0.39645532968569025
FL23	s	0.4384710900062063
FL24	s	0.2168338960705313
FL25	s	0.5272769393326656
FL26	s	0.287558734490055
FL27	s	0.4087967928625835
FL28	s	0.46429270395163597
FL29	s	0.36271435022902737
FL30	s	0.21237536110334543
FL32	s	0.33929197403617306
FL33	s	0.4765191035760725
FL34b	s	0.3084780990151723
FL35	s	0.23273010570746103
FL36	s	0.26418425717419286
FL37b	s	0.28518040991855176
FL38	s	0.21634553502677006
FL39	s	0.27450149163316623
FL40	s	0.6466012499449894
FL41	s	0.2275991461550434
FL42	s	0.7395451714508652
FL43	s	0.3500611120725741
FL44	s	0.43751253799059214
FL45	s	0.6296873518020971
FL46	s	0.6245939612457178
FL47	s	0.5485252651953487
FL48	s	0.18916359709622219
FL49	s	0.84526100562009
FL50	s	0.5339446637983586
FL51	s	0.3598448575334855
FL52	s	0.3480899058627136
FL53	s	0.3834751121583662
FL54	s	0.530585637213165
FL55	s	0.47341216078985154
FL56	s	0.4737933769821136
FL57	s	0.23211439593929575
FL58	s	0.2891106369789624
FL59a	s	0.285624698721024
FL60	s	0.37057899104430964
FL61	s	0.3760256336929837
FL62	s	0.4615752026395644
FL63	s	0.36222011376718916
FL64	s	0.22406896637257276
FL65	s	0.20456664064964006
FL66	s	0.23681530051486252
FL67	s	0.2057946014473831
FL68	s	0.19734398232394693
FL69	s	0.12340124296885084
FL70	s	0.37868947518793755
FL71	s	0.12901907212782246 
FL72	s	0.5807940212824816
FL73	s	0.26615848507098155
FL74	s	0.40672786274873685
FL75	s	0.3587739690818
FL76	s	0.5135145412472781
FL77	s	0.4127838573724325
FL78	s	0.1944188758477579
FL79	s	0.47631601684594566
FL80	s	0.0937731693164551
FL81	s	0.07834363843496263
FL82	s	0.49423611530684497
FL83	s	0.1600772710367964
FL84	s	0.29209016157017276 
FL85a	s	0.16631004351160905
FL86	s	0.2759893711109814
FL87b	s	0.2177589311418094
FL88b	s	0.9832897023789453
FL89	s	0.23273010570746103
FL90b	s	0.3006987633710606
FL91	s	0.1843276819986624
FL92	s	0.34932498815624036
FL93	s	0.5138587157634187
FL94	s	0.48133927893645234
FL95	s	0.36737616247821464
FL96	s	0.4483799516395538
FL97	s	0.21649941414968624
FL98	s	0.10255703838767015
FL99	s	0.47879324312056404
FL100	s	0.301303163772334
FL102	s	0.5183338457975801
