Filename	Syllable	Time(s)
FL1	1	0.11516265
FL1	2	0.156292168
FL1	3	0.178227911
FL1	4	0.109678714
FL1	5	0.134356425
FL1	6	0.142582329
FL1	7	0.219357429
FL2	1	0.145324297
FL2	2	0.148066264
FL2	3	0.128872489
FL2	4	0.126130522
FL2	5	0.202905622
FL2	6	0.156292168
FL2	7	0.263228915
FL3	1	0.114933304
FL3	2	0.117037784
FL3	3	0.105675718
FL3	4	0.224238718
FL3	5	0.110830631
FL3	6	0.100520805
FL3	7	0.350534089
FL4	1	0.103426977
FL4	2	0.113517414
FL4	3	0.105949587
FL4	4	0.128653069
FL4	5	0.085768713
FL4	6	0.12613046
FL4	7	0.290100059
FL5	1	0.086866027
FL5	2	0.149602603
FL5	3	0.103756644
FL5	4	0.106169589
FL5	5	0.168906165
FL5	6	0.12064726
FL5	7	0.320921713
FL6	1	0.010748482
FL6	2	0.180037076
FL6	3	0.059116652
FL6	4	0.188098437
FL6	5	0.085987857
FL6	6	0.231092366
FL6	7	0.317080223
FL7	1	0.142142753
FL7	2	0.115820021
FL7	3	0.102658655
FL7	4	0.136878207
FL7	5	0.147407299
FL7	6	0.171097758
FL7	7	0.310608238
FL8b	1	0.120007208
FL8b	2	0.117784853
FL8b	3	0.104450718
FL8b	4	0.104450718
FL8b	5	0.131118987
FL8b	6	0.126674275
FL8b	7	0.246681484
FL9b	1	0.071949125
FL9b	2	0.093339406
FL9b	3	0.171122244
FL9b	4	0.079727409
FL9b	5	0.145842821
FL9b	6	0.099173119
FL9b	7	0.390858761
FL10	1	0.106169589
FL10	2	0.137537877
FL10	3	0.098930753
FL10	4	0.086866027
FL10	5	0.084453082
FL10	6	0.183383836
FL10	7	0.234055685
FL11	1	0.118453061
FL11	2	0.162872958
FL11	3	0.148066326
FL11	4	0.165834285
FL11	5	0.097723775
FL11	6	0.186563571
FL11	7	0.358320508
FL12	1	0.138742587
FL12	2	0.117629584
FL12	3	0.147791016
FL12	4	0.147791016
FL12	5	0.177952448
FL12	6	0.144774873
FL12	7	0.545921917
FL13	1	0.084453082
FL13	2	0.137537877
FL13	3	0.135124932
FL13	4	0.12064726
FL13	5	0.11582137
FL13	6	0.180970891
FL13	7	0.229229795
FL14	1	0.124978605
FL14	2	0.07266198
FL14	3	0.197640585
FL14	4	0.145323959
FL14	5	0.188921147
FL14	6	0.127885084
FL14	7	0.409813565
FL15	1	0.073155759
FL15	2	0.168576314
FL15	3	0.136769462
FL15	4	0.09860124
FL15	5	0.095420555
FL15	6	0.146311518
FL15	7	0.502548257
FL16	1	0.115546183
FL16	2	0.083300737
FL16	3	0.223031004
FL16	4	0.120920424
FL16	5	0.120920424
FL16	6	0.163914352
FL16	7	0.282147656
FL17	1	0.094762449
FL17	2	0.174718264
FL17	3	0.192486224
FL17	4	0.139182346
FL17	5	0.112530408
FL17	6	0.174718264
FL17	7	0.506386834
FL18	1	0.118233303
FL18	2	0.075239375
FL18	3	0.077926495
FL18	4	0.171975714
FL18	5	0.166601473
FL18	6	0.120920424
FL18	7	0.368135513
FL19	1	0.07551401
FL19	2	0.201370694
FL19	3	0.131450314
FL19	4	0.153824835
FL19	5	0.148231205
FL19	6	0.095091716
FL19	7	0.21535477
FL20	1	0.122621488
FL20	2	0.105511513
FL20	3	0.185358064
FL20	4	0.091253201
FL20	5	0.156841438
FL20	6	0.139731463
FL20	7	0.376419452
FL21	1	0.145104509
FL21	2	0.15047875
FL21	3	0.112859062
FL21	4	0.104797701
FL21	5	0.134356027
FL21	6	0.188098437
FL21	7	0.260650692
FL22	1	0.121140457
FL22	2	0.139182653
FL22	3	0.115985544
FL22	4	0.097943348
FL22	5	0.19330924
FL22	6	0.25259074
FL22	7	0.226816175
FL23	1	0.098381759
FL23	2	0.12613046
FL23	3	0.151356552
FL23	4	0.100904368
FL23	5	0.113517414
FL23	6	0.143788725
FL23	7	0.242170484
FL24	1	0.059720647
FL24	2	0.108582994
FL24	3	0.117631577
FL24	4	0.119441294
FL24	5	0.124870443
FL24	6	0.101344128
FL24	7	0.224404855
FL25	1	0.099533737
FL25	2	0.129695475
FL25	3	0.159857214
FL25	4	0.108582258
FL25	5	0.168905735
FL25	6	0.171921909
FL25	7	0.449409903
FL26	1	0.078310825
FL26	2	0.097888532
FL26	3	0.148231205
FL26	4	0.165012096
FL26	5	0.106278977
FL26	6	0.232135661
FL26	7	0.330024192
FL27	1	0.105674951
FL27	2	0.101178145
FL27	3	0.110171758
FL27	4	0.114668564
FL27	5	0.096681339
FL27	6	0.130407387
FL27	7	0.233833935
FL28	1	0.156839752
FL28	2	0.105510379
FL28	3	0.142581593
FL28	4	0.102658747
FL28	5	0.108362011
FL28	6	0.116916906
FL28	7	0.541810053
FL29	1	0.101398209
FL29	2	0.146202068
FL29	3	0.129695383
FL29	4	0.115546796
FL29	5	0.099040111
FL29	6	0.167424949
FL29	7	0.240525984
FL30	1	0.100904981
FL30	2	0.136002366
FL30	3	0.162325405
FL30	4	0.157938232
FL30	5	0.116260087
FL30	6	0.186454857
FL30	7	0.357554608
FL31b	1	0.101343024
FL31b	2	0.110556026
FL31b	3	0.175047042
FL31b	4	0.133588532
FL31b	5	0.140498284
FL31b	6	0.078310519
FL31b	7	0.2095958
FL32	1	0.079187892
FL32	2	0.12086573
FL32	3	0.106278487
FL32	4	0.093775135
FL32	5	0.150040216
FL32	6	0.106278487
FL32	7	0.206305298
FL33	1	0.181299055
FL33	2	0.149492203
FL33	3	0.139950148
FL33	4	0.152672888
FL33	5	0.168576314
FL33	6	0.232190018
FL33	7	0.324429887
FL34b	1	0.091965817
FL34b	2	0.063668643
FL34b	3	0.12262109
FL34b	4	0.089607719
FL34b	5	0.181573537
FL34b	6	0.129695383
FL34b	7	0.346640388	
FL35	1	0.117630657
FL35	2	0.186070312
FL35	3	0.147573006
FL35	4	0.13901805
FL35	5	0.13687931
FL35	6	0.121908136
FL35	7	0.288729795
FL36	1	0.108582534
FL36	2	0.116479446
FL36	3	0.142144409
FL36	4	0.102659851
FL36	5	0.12240213
FL36	6	0.128324813
FL36	7	0.177680511
FL37b	1	0.128982031
FL37b	2	0.119769029
FL37b	3	0.115162528
FL37b	4	0.108252776
FL37b	5	0.16583404
FL37b	6	0.20729255
FL37b	7	0.278693317
FL38	1	0.093776515
FL38	2	0.122951431
FL38	3	0.104196128
FL38	4	0.137538889
FL38	5	0.10628005
FL38	6	0.122951431
FL38	7	0.239651094
FL39	1	0.123607851
FL39	2	0.121085242
FL39	3	0.161446989
FL39	4	0.100904368
FL39	5	0.143788725
FL39	6	0.201808736
FL39	7	0.418753128
FL40	1	0.109678714
FL40	2	0.093226907
FL40	3	0.101452811
FL40	4	0.134356425
FL40	5	0.142582329
FL40	6	0.139840361
FL40	7	0.285164658
FL41	1	0.140498284
FL41	2	0.099039774
FL41	3	0.149711286
FL41	4	0.103646275
FL41	5	0.117465778
FL41	6	0.140498284
FL41	7	0.4191916
FL42	1	0.101342687
FL42	2	0.156620516
FL42	3	0.092129715
FL42	4	0.089058725
FL42	5	0.055277829
FL42	6	0.190401412
FL42	7	0.221111317
FL43	1	0.131450283
FL43	2	0.087633522
FL43	3	0.172689588
FL43	4	0.162379762
FL43	5	0.115985544
FL43	6	0.13402774
FL43	7	0.177844501
FL44	1	0.104798896
FL44	2	0.099424594
FL44	3	0.145106164
FL44	4	0.107486048
FL44	5	0.118234652
