Filename	start 	value (s)
GR1	s	0.16552968391033487
GR2	s	0.19570981923052017
GR3	s	0.4319922658874561
GR4	s	0.32821475181759907
GR5	s	0.21801206194440254
GR6	s	0.32428352707917596
GR7	s	0.4446734737401876
GR8	s	0.4076591357064601
GR9	s	0.5683136834467934
GR10	s	0.4316040179488496
GR11	s	0.785492687687664
GR12	s	0.4785013488028395
GR13	s	0.5075158802286835
GR14	s	0.3680479120507591
GR15	s	0.5732410714067365
GR16	s	0.4818856313988037
GR17	s	0.7786669221792045
GR18	s	0.44851724515299135
GR19	s	0.6354370366333332
GR20	s	0.6630560400002236
GR21	s	0.7066343738733167
GR22	s	0.8742598726271529
GR23	s	0.4701100179954892
GR24	s	0.3118087510271159
GR25	s	0.7705107740465058
GR26	s	1.0867823895876654
GR27	s	0.49056043406475164
GR28	s	0.6748180768344382
GR29	s	0.8865244844856596
GR30	s	0.5365565617680926
GR31	s	0.9368905859300034
GR32	s	0.535334026636538
GR33	s	0.755111287479248
GR34	s	0.6729364914875153
GR35	s	0.6975854705244281
GR36	s	1.1642640158081516
GR37	s	0.856333436568958
GR38	s	0.7280413099273194
GR39	s	0.8036676304320688
GR40	s	0.681925716320149
GR41	s	0.8635904483378192
GR42	s	0.47818649048310774
GR43	s	1.0437218296402684
GR44	s	0.6083390474295203
GR45	s	0.7093449008544975
GR46	s	0.814812005191011
GR47	s	1.0697010213630782
GR48	s	0.7747291101287133
GR49	s	0.9144741906280454
GR50	s	0.37399562702075145
GR51	s	0.4923321977487414
GR52	s	0.8924565068983291
GR53	s	0.5902643019769535
GR54	s	0.6711800122293166
GR55	s	0.9616742818224249
GR56	s	0.6055542807586263
GR57	s	0.5237437068774374
GR58	s	0.6577853558437134
GR59	s	1.0875687113976578
GR60	s	1.0407110755440268
GR61	s	0.6787727895698131
GR62	s	0.7798090368028887
GR63	s	0.5448381989380764
GR64	s	0.8497565639705109
GR65	s	0.9388770709427293
GR66	s	0.6497743295012129
GR67	s	0.5536940926034033
GR68	s	0.45202639983984216
GR69	s	0.5312496380857705
GR70	s	0.4120727050278137
GR71	s	0.9012791925949373
GR72	s	0.6159406580610195
GR73	s	0.4837167491620039
GR74	s	0.5210249706844017
GR75	s	1.5792152095937722
GR76	s	0.9909848555241032
GR77	s	0.6300432428004069
GR78	s	0.733552390245334
GR79	s	0.6558484201892548
GR80	s	0.6995735783528696
GR81	s	1.066807718150877
GR82	s	0.9721323200028733
GR83	s	0.8191394051115769
GR84	s	0.5493247564501197
GR85	s	0.8357760022002867
GR86	s	0.7211648475682042
GR87	s	0.874698961017576
GR88	s	0.4544648306053625
GR89	s	0.599421446714813
GR90	s	0.588427275204282
GR91	s	0.647339290430634
GR92	s	0.608902238010635
GR93	s	0.588363876164938
GR94	s	0.645642728411294
GR95	s	0.9366135887515441
GR96	s	0.6178384314001895
GR97	s	0.6517399973675789
GR98	s	0.672930506747173
GR99	s	0.641882
GR100	s	0.9455818203753702
GR101	s	0.45603521002778175
GR102	s	0.8738693410807216
