Filename	start 	value (s)
JPC1	s	0.13089174904243403
JPC2	s	0.1950057738987009
JPC3	s	0.22376574190353582
JPC4	s	0.35263856860663617
JPC5	s	0.17848294210888563
JPC6	s	0.33274372833081245
JPC7	s	0.3676424124993689
JPC8	s	0.1673549606393703
JPC9	s	0.20165849991961257
JPC10	S	0.196119686211321
JPC11	s	0.2633822387439634
JPC12	s	0.21756713031943672
JPC13	s	0.13375465852883303
JPC14	s	0.30870678651718003
JPC15	s	0.2549127080020442
JPC16	s	0.36442173887115326
JPC17	s	0.1437426404931763
JPC18	s	0.3402300070010442
JPC19	s	0.2528963561383653
JPC20	s	0.14561438685565045
JPC21	s	0.4065425915944662
JPC22	s	0.13280757655916853
JPC23	s	0.5429135153149691
JPC24	s	0.30168156118999473
JPC25	s	0.1787752477455208
JPC26	s	0.34664753873479376
JPC27	s	0.335617095008267
JPC28	s	0.2669692398566688
JPC29	s	0.21011971447997915
JPC30	s	0.2767681092392986
JPC31	s	0.2083149380982761
JPC32	s	0.31224226073106265
JPC33	s	0.2154515860607247
JPC34	s	0.3694109064503249
JPC35	s	0.36270867854504046
JPC36	s	0.344937460334907
JPC37	s	0.4424613454862267
JPC38	s	0.5398927644384731
JPC39	s	0.33188107236471787
JPC40	s	0.3772585368913763
JPC41	s	0.3245722443169093
JPC42	s	0.5009803922089201
JPC43	s	0.5116668572525435
JPC44	s	0.44277223599560744
JPC45	s	0.7557496971391298
JPC46	s	0.3733011548518025
JPC47	s	0.29379517240853553
JPC48	s	0.5259022333516787
JPC49	s	0.501093681447951
JPC50	s	0.4053253805355194
JPC51	s	0.3012790704936513
JPC52	s	0.6073029600888141
JPC53	s	0.4522484111237878
JPC54	s	0.3324696732356783
JPC55	s	0.6932742665032293
JPC56	s	0.3190053048109147
JPC57	s	0.19803540715167467
JPC58	s	0.47917378120900617
JPC59	s	0.4125630030447849
JPC60	s	0.20617889703964315
JPC61	s	0.32816003918976616
JPC62	s	0.22884679008059866
JPC63	s	0.44865390301354646
JPC64	s	0.5738402873410484
JPC65	s	0.38519607380198195
JPC66	s	0.4098226345248989
JPC67	s	0.4199690436701588
JPC68	s	0.6233928701488419
JPC69	s	0.17586515577010406
JPC70	s	0.35003464547822016
JPC71	s	0.2784894872640656
JPC72	s	0.2631115067332568
JPC73	s	0.3738776147386715
JPC74	s	0.6815236948309357
JPC75	s	0.45956934949759476
JPC76	s	0.4992575828620931
JPC77	s	0.27516750703344056
JPC78	s	0.5931677887339055
JPC79	s	0.570941836338351
JPC80	s	0.4457676543111264
JPC81	s	0.5955385700870743
JPC82	s	0.5202481103204862
JPC83	s	0.6254354580074457
JPC84	s	0.4307905627335316
JPC85	s	0.6949403767097054
JPC86	s	0.3429987745233296
JPC87	s	0.4740249738423254
JPC88	s	0.552453017736775
JPC89	s	0.43022091842518645
JPC90	s	0.5924914919999255
JPC91	s	0.39185012463178515
JPC92	s	0.42746979175923355
JPC93	s	0.5744567872030363
JPC94	s	0.7047710263347203
JPC95	s	0.43763825867544076
JPC96	s	0.4120313841271814
JPC97	s	0.5445936142087479
JPC98	s	0.2866398097979498
JPC99	s	0.2275991461550434
JPC100	s	0.2866816415331621
JPC101	s	0.41336856700445057
JPC102	s	0.2782376613091365
