Filename	start 	value (s)
PC1	s	0.2790966148468083
PC2	s	0.2412856608337665
PC3	s	0.496935146542183
PC4	s	0.5224861123920946
PC5	s	0.6593233650472822
PC6	s	0.3506775921603577
PC7	s	0.5737089144922554
PC8	s	0.7643148327874014
PC9	s	0.6579506601839584
PC10	s	0.6242197843213909
PC11	s	0.5719145910512589
PC12	s	0.27167597272064126
PC13	s	0.4959287505915814
PC14	s	2.165844274169713
PC15	s	0.5798157427514967
PC16	s	0.24431657325094513
PC17	s	0.24922875164257022
PC18	s	0.6196624719115255
PC19	s	0.6531758318270131
PC20	s	0.7426384127051088
PC21	s	0.39218614499603593
PC22	s	0.5680427321465253
PC23	s	0.4149070090409486
PC24	s	0.3563131834192524
PC25	s	0.6877303621736286
PC26	s	0.582832191118196
PC27	s	0.686772329682181
PC28	s	0.6210813563390983
PC29	s	0.4104103748542008
PC30	s	0.5877087704689518
PC31	s	0.5495306385487294
PC32	s	0.6362828897607727
PC33	s	0.5771121406142572
PC34	s	0.5128474699760759
PC35	s	0.301023693594803
PC36	s	0.4259789980426572
PC37	s	0.5261321886392019
PC38	s	0.4544498269041936
PC39	s	0.5250169677181679
PC40	s	0.7173005908274361
PC41	s	0.4770288420421579
PC42	s	0.7069528177823102
PC43	s	0.419652147184538
PC44	s	0.45028757391711477
PC45	s	0.6410028888943622
PC46	s	0.5899059868015613
PC47	s	0.37769365209792494
PC48	s	0.45705080592348896
PC49	s	0.7738855354051029
PC50	s	0.5280647419904178
PC51	s	0.6324252013356698
PC52	s	0.38568318350775666
PC53	s	0.657373105920333
PC54	s	0.5155638748883216
PC55	s	0.832577133584278
PC56	s	0.435199318994237
PC57	s	0.6781991181782387
PC58	s	0.4455813461931267
PC59	s	0.7624613767099383
PC60	s	0.30971830758032465
PC61	s	0.42846208200052827
PC62	s	0.6047790255066522
PC63	s	0.4423605173097553
PC64	s	0.3715691856421081
PC65	s	0.6099929605225924
PC66	s	0.6660929501859288
PC67	s	0.7686308738843216
PC68	s	0.2723490011589407
PC69	s	0.6171614569140619
PC70	s	0.7555487274040333
PC71	s	0.4971560701964982
PC72	s	0.3737824784631738
PC73	s	0.5503333060833208
PC74	s	0.5243323078769304
PC75	s	0.6655260352908625
PC76	s	0.5872430220461918
PC77	s	0.5455089129812772
PC78	s	0.291727677727144
PC79	s	0.5449728220063532
PC80	s	0.3670352553660981
PC81	s	0.5093889266196755
PC82	s	0.5290239157581
PC83	s	0.4881244083457473
PC84	s	0.49716315057803795
PC85	s	0.39143823910564296
PC86	s	0.43576371646559886
PC87	s	0.5800041605761724
PC88	s	0.6401007968066711
PC89	s	0.5346563234090883
PC90	s	0.22032576145443802
PC91	s	0.4492107453088055
PC92	s	0.6791220534322671
PC93	s	0.5869855381039023
PC94	s	0.5641466213128636
PC95	s	0.4770288420421579
PC96	s	0.5771121406142572
PC97	s	0.39143823910564296
PC98	s	0.6255227633969912
PC99	s	0.3642059858728482
PC100	s	0.29304242976891526
PC101	s	0.5175606365183707
PC102	s	0.7162938569810456
