Filename	Syllable	Time(s)
PC1	1	0.0811349511601751
PC1	2	0.12399869894290916
PC1	3	0.128591243348202
PC1	4	0.13012209148329978
PC1	5	0.1163444582674209
PC1	6	0.13471463588859256
PC1	7	0.26942927177718534
PC2	1	0.12655197468264218
PC2	2	0.08981107880703637
PC2	3	0.12655197468264218
PC2	4	0.12383042684000467
PC2	5	0.19050834898462254
PC2	6	0.1401597138958296
PC2	7	0.19595144466989756
PC3	1	0.08972187431874973
PC3	2	0.15271808394680797
PC3	3	0.2252591738215417
PC3	4	0.0706321138253988
PC3	5	0.13553729950279192
PC3	6	0.12790139530545175
PC3	7	0.2558027906109033
PC4	1	0.09163121079025971
PC4	2	0.12435664321535245
PC4	3	0.13908308780664413
PC4	4	0.11126647024531533
PC4	5	0.12435664321535256
PC4	6	0.13744681618538945
PC4	7	0.19635259455055643
PC5	1	0.11339248802309532
PC5	2	0.1223918918344522
PC5	3	0.13499105717035165
PC5	4	0.09899344192492454
PC5	5	0.18898748003849253
PC5	6	0.07919475353993954
PC5	7	0.24658366443117585
PC6	1	0.057269506743912346
PC6	2	0.21107903914184822
PC6	3	0.1063576553815514
PC6	4	0.05726950674391229
PC6	5	0.10144884051778758
PC6	6	0.22253294049063055
PC6	7	0.25198582967321426
PC7	1	0.11497341231411762
PC7	2	0.11497341231411762
PC7	3	0.10313791398766436
PC7	4	0.15724304919430787
PC7	5	0.11835498326453298
PC7	6	0.143716765392647
PC7	7	0.22994682462823524
PC8	1	0.1255015017275226
PC8	2	0.15740866318367253
PC8	3	0.13826436630998273
PC8	4	0.1169929253392159
PC8	5	0.10848434895090953
PC8	6	0.14251865450413592
PC8	7	0.28503730900827184
PC9	1	0.10848320010522705
PC9	2	0.13188153738282493
PC9	3	0.2361104943466703
PC9	4	0.14677138837766002
PC9	5	0.15953411780180438
PC9	6	0.1616612393724952
PC9	7	0.31055974932084585
PC10	1	0.0787047821195549
PC10	2	0.10090356681994206
PC10	3	0.10090356681994217
PC10	4	0.14731920755711558
PC10	5	0.07063249677395955
PC10	6	0.16548184958470524
PC10	7	0.27849384442304026
PC11	1	0.12719077793487288
PC11	2	0.12959060393364408
PC11	3	0.11999129993855939
PC11	4	0.1319904299324154
PC11	5	0.09359321395207632
PC11	6	0.2279834698832628
PC11	7	0.2831794678549999
PC12	1	0.07826801802273908
PC12	2	0.1221744671574464
PC12	3	0.14508217974946758
PC12	4	0.14699115579880262
PC12	5	0.20807838937752587
PC12	6	0.09926675456542522
PC12	7	0.2328950780188821
PC13	1	0.09599394100628472
PC13	2	0.1439909115094271
PC13	3	0.09817562148370029
PC13	4	0.11562906530302486
PC13	5	0.13962755055459586
PC13	6	0.17671611867066073
PC13	7	0.2443482134705428
PC14	1	0.10133158236811202
PC14	2	0.08147757708224734
PC14	3	0.164895096475977
PC14	4	0.11833648100040683
PC14	5	0.17653475034486954
PC14	6	0.16101521185301282
PC14	7	0.3062792447316145
PC15	1	0.08677609883055526
PC15	2	0.13722731908087804
PC15	3	0.10090244050064567
PC15	4	0.10493853812067133
PC15	5	0.11502878217073609
PC15	6	0.16548000242105876
PC15	7	0.34912244413223403
PC16	1	0.07035871107935437
PC16	2	0.1374449239689713
PC16	3	0.18980489500476994
PC16	4	0.08835745112291016
PC16	5	0.14726241853818356
PC16	6	0.13744492396897134
PC16	7	0.238892367850831
PC17	1	0.07854103782022262
PC17	2	0.14399190267040807
PC17	3	0.17180852023173693
PC17	4	0.12926545807911638
PC17	5	0.12599291483660702
PC17	6	0.1783536067167555
PC17	7	0.3599797566760201
PC18	1	0.10848320010522694
PC18	2	0.11486456481729912
PC18	3	0.10210183539315476
PC18	4	0.13826290209489722
PC18	5	0.18505957665009287
PC18	6	0.12337305110006214
PC18	7	0.35735642387604183
PC19	1	0.07101298995871974
PC19	2	0.17246011847117637
PC19	3	0.13188126706619385
PC19	4	0.099756343037249
PC19	5	0.16400619109513848
PC19	6	0.10313791398766425
PC19	7	0.23163761010344297
PC20	1	0.07254048166231364
PC20	2	0.13886320775357186
PC20	3	0.1222825262307573
PC20	4	0.13679062256322005
PC20	5	0.10570184470794275
PC20	6	0.12435511142110922
PC20	7	0.2134762746062373
PC21	1	0.07510463764645137
PC21	2	0.1413734355697907
PC21	3	0.1325375958466789
PC21	4	0.1060300766773431
PC21	5	0.1428460755236427
PC21	6	0.1457913554313467
PC21	7	0.2812742311857297
PC22	1	0.1094119404707754
PC22	2	0.13908297517471457
PC22	3	0.10384862146378682
PC22	4	0.13908297517471435
PC22	5	0.15206405285768798
PC22	6	0.13908297517471446
PC22	7	0.22995051895552798
PC23	1	0.06801364672478138
PC23	2	0.12179187901879457
PC23	3	0.16449812231109917
PC23	4	0.09648447558631779
PC23	5	0.13760900616409266
PC23	6	0.12021016630426473
PC23	7	0.24200204532305936
PC24	1	0.08857622738307186
PC24	2	0.12522845940365324
PC24	3	0.0885762273830718
PC24	4	0.12828281207203507
PC24	5	0.10384799072498085
PC24	6	0.12980998840622593
PC24	7	0.23976668446797023
PC25	1	0.08721198439831979
PC25	2	0.12762729424144348
PC25	3	0.0978475922517732
PC25	4	0.14677138837766002
PC25	5	0.1531527530897323
PC25	6	0.18293245507940226
PC25	7	0.27014443947772215
PC26	1	0.08399395500976348
PC26	2	0.08590290853271254
PC26	3	0.09735662967040759
PC26	4	0.1928043058178659
PC26	5	0.10690139728515358
PC26	6	0.2309833762768494
PC26	7	0.42569663561766435
PC27	1	0.08475805002054237
PC27	2	0.1432814655109168
PC27	3	0.10493853812067133
PC27	4	0.14731756313094269
PC27	5	0.07466780597047773
PC27	6	0.17355219766111052
PC27	7	0.24418390601156248
PC28	1	0.09817449516440369
PC28	2	0.0962110052611157
PC28	3	0.1943855004255195
PC28	4	0.11584590429399633
PC28	5	0.14333476294002967
PC28	6	0.10406496487426797
PC28	7	0.32790281384910847
PC29	1	0.05563251427830784
PC29	2	0.12424594855488763
PC29	3	0.15762545712187226
PC29	4	0.11868269712705681
PC29	5	0.10570177712878492
PC29	6	0.14835337140882088
PC29	7	0.2633272342506574
PC30	1	0.11388372092109234
PC30	2	0.06675942260891621
PC30	3	0.12173777063978841
PC30	4	0.11977425821011423
PC30	5	0.15511748194424646
PC30	6	0.10995669606174441
PC30	7	0.25918364071696876
PC31	1	0.10259320344946732
PC31	2	0.08819415735129643
PC31	3	0.14939010326852253
PC31	4	0.13499105717035176
PC31	5	0.10079332268719576
PC31	6	0.1421905802194372
PC31	7	0.2501834259557183
PC32	1	0.08781186205566172
PC32	2	0.12980883956054345
PC32	3	0.13171779308349263
PC32	4	0.10881035080810253
PC32	5	0.12217302546874675
PC32	6	0.10690139728515358
PC32	7	0.2290744227539001
PC33	1	0.07635904197340404
PC33	2	0.1584450120948132
PC33	3	0.1298103713547868
PC33	4	0.14890013184813766
PC33	5	0.11072061086143581
PC33	6	0.16226296419348363
PC33	7	0.2997092397456105
PC34	1	0.07608636007170944
PC34	2	0.07777716807330304
PC34	3	0.16569918415616725
PC34	4	0.0929944400876449
PC34	5	0.18429807217369631
PC34	6	0.16231756815298004
PC34	7	0.289128168272496
PC35	1	0.0901576247281986
PC35	2	0.134445580735033
PC35	3	0.15026270788033091
PC35	4	0.07275878486837084
PC35	5	0.1534261333093906
PC35	6	0.12653701716238397
PC35	7	0.21194950374699317
PC36	1	0.1091381773025562
PC36	2	0.142354144307682
PC36	3	0.12811872987691375
PC36	4	0.13128215530597342
PC36	5	0.08066734844101975
PC36	6	0.09173933744272844
PC36	7	0.31001569204784074
PC37	1	0.11159260726082398
PC37	2	0.13859081869489442
PC37	3	0.1169922495476381
PC37	4	0.12599165335899498
PC37	5	0.15658962631760787
PC37	6	0.18178795698940697
PC37	7	0.19078736080076375
PC38	1	0.08224906115554959
PC38	2	0.1043930391589668
PC38	3	0.1312821553059733
PC38	4	0.10597475187349659
