Filename	start 	value (s)
PM1	s	0.27738987232029894
PM2	s	0.36225383573040276
PM3	s	0.1841185813119414
PM4	s	0.32666933751725835
PM5	s	0.22259087366073174
PM6	s	0.3042366331482778
PM7	s	0.3489135001482447
PM8	s	0.24304673132605548
PM9	s	0.2692851291455538
PM10	s	0.23127404093056694
PM11	s	0.24545168631724465
PM12	s	0.2563277478740914
PM13	s	0.3611703784328029
PM14	s	0.3594352075344655
PM15	s	0.21020844876741437
PM16	s	0.28464165087126675
PM17	s	0.34854929492339254
PM18	s	0.20136297619396978
PM19	s	0.21800892368040067
PM20	s	0.19905380910923673
PM21	s	0.28424760247926206
PM22	s	0.2446151155164716
PM23	s	0.2263951720401595
PM24	s	0.19570981923052017
PM25	s	0.3234815624478872
PM26	s	0.20404086651779307
PM27	s	0.30390638927056374
PM28	s	0.29470135620197474
PM29	s	0.12697854939274394
PM30	s	0.3594399676982543
PM31	s	0.3342703934319551
PM32	s	0.22158930825522827
PM33	s	0.29480320643561453
PM34	s	0.21442629771197716
