Filename	start 	value (s)
PN1	s	0.1622798135298525
PN2	s	0.3188550667031398
PN3	s	0.25766474095544134
PN4	s	0.3819406707835148
PN5	s	0.2242754996796377
PN6	s	0.3042947582839456
PN7	s	0.18190816582727315
PN8	s	0.2944391420097723
PN9	s	0.38324843578814033
PN10	s	0.20818424894394558
PN11	s	0.13320953912455494
PN12	s	0.18582254337643028
PN13	s	0.26684982976602717
PN14	s	0.1507219852621102
PN15	s	0.1651232009169047
PN16	s	0.8520156407793877
PN17	s	0.3695928983497672
PN18	s	0.1976685503892909
PN19	s	0.3291189327453969
PN20	s	0.5359273407091198
PN21	s	0.2683846271150202
PN22	s	0.3455117089461092
PN23	s	0.2255169301183908
PN24	s	0.2115250329795024
PN25	s	0.3212945052242001
PN26	s	0.3018271235329245
PN27	s	0.34476778778779044
PN28	s	0.4121644986676026
PN29	s	0.30913537871753055
PN30	s	0.1622798135298525
PN31	s	0.28999679513941296
PN32	s	0.3298771638358678
PN33	s	0.543547656647396
PN34	s	0.3003386054247089
