Filename	start 	value (s)
RR1	s	0.2952899233746033
RR2	s	0.4156843632134962
RR3	s	0.45137046951072957
RR4	s	0.3338316538547938
RR5	s	0.40977508535425944
RR6	s	0.5386197196113449
RR7	s	0.39208520458820334
RR8	s	0.5373220434435072
RR9	s	0.9792270611446612
RR10	s	0.383013133473493
RR11	s	0.49241704467325137
RR12	s	0.26539047725019893
RR13	s	0.3468638973666706
RR14	s	0.5420414494307892
RR15	s	0.5103990419349744
RR16	s	0.37907972380569244
RR17	s	0.322319
RR18	s	0.38823108217369395
RR19	s	0.5319819885423014
RR20	s	0.574645713736056
RR21	s	0.4633846639432958
RR22	s	0.5514599354724943
RR23	s	0.7377969975886651
RR24	s	0.6556346108698204
RR25	s	0.6485803716922095
RR26	s	0.5369678554004285
RR27	s	0.45203122758278885
RR28	s	0.7159851724922884
RR29	s	0.5844722921522758
RR30	s	0.39918952840097627
RR31	s	0.20703764884009274
RR32	s	0.6485884756960165
RR33	s	0.3357699464851676
RR34	s	0.48366392045639817
RR35	s	0.44289539120479055
RR36	s	0.3598789616889279
RR37	s	0.34309412349402924
RR38	s	0.38268027666506893
RR39	s	0.3224124629373627
RR40	s	0.3803187482881403
RR41	s	0.25981605702915245
RR42	s	0.4701048298303675
RR43	s	0.2817794665070561
RR44	s	0.27360109029018
RR45	s	0.7232843156264149
RR46	s	0.4672671978439417
RR47	s	0.34128062977108126
RR48	s	0.30731786256083504
RR49	s	0.3018452739045495
RR50	s	0.3887115911654994
RR51	s	0.3326782352795782
RR52	s	0.7257002213888842
RR53	s	0.39871890987547437
RR54	s	0.31287325930355026
RR55	s	0.3619244969839826
RR56	s	0.42883013134040254
RR57	s	0.12835685138972733
RR58	s	1.0643252470376676
RR59	s	0.46615029730608004
RR60	s	0.28826366413451165
RR61	s	0.3439424856387193
RR62	s	0.194864572823446
RR63	s	0.6187354544323893
RR64	s	0.2643132670762087
RR65	s	0.3415131134280609
RR66	s	0.5645615420572502
RR67	s	0.40115829082506055
RR68	s	0.34184328972661715
RR69	s	0.42746496612031554
RR70	s	0.4899525272246841
RR71	s	0.28661750463075536
RR72	s	0.4253158701511281
RR73	s	0.4906780484379454
RR74	s	0.40642715470449337
RR75	s	0.37621246547312776
RR76	s	0.5978435478011219
RR77	s	0.14410380476699375
RR78	s	0.4161068597015634
RR79	s	0.5203368401421099
RR80	s	0.37748533303008963
RR81	s	0.37211018536762835
RR82	s	0.241709
RR83	s	0.5036237555827591
RR84	s	0.4843927983195127
RR85	s	0.4068295408070103
RR86	s	0.3543040543302366
RR87	s	0.27761533731585275
RR88	s	0.5493453808957848
RR89	s	0.42088938596871234
RR90	s	0.5707678007650266
RR91	s	0.2643245513762887
RR92	s	0.31237274691742967
RR93	s	0.20679798195897778
RR94	s	0.4364406328343787
RR95	s	0.38932398505057325
RR96	s	0.43630990650334356
RR97	s	0.1772631615813951
RR98	s	0.23259858376211345
RR99	s	0.3178980921148246
RR100	s	0.24622844103603425
RR101	s	0.37772969402156026
RR102	s	0.21568435975629635
