Filename	start 	value (s)
SV1	s	0.37686293750220695
SV2	s	0.356776980680003
SV3	s	0.296687609620856
SV4	s	0.3257563185693021
SV5	s	0.48008893049558726
SV6	s	0.18923328972249437
SV7	s	0.6739818427728842
SV8	s	0.44836502065325096
SV9	s	0.7128713053789935
SV10	s	0.513913462330199
SV11	s	0.508804742095209
SV12	s	0.4049320069238995
SV13	s	0.5046913177582888
SV14	s	0.3155523926517621
SV15	s	0.2624275899144659
SV16	s	0.6632256710870074
SV17	s	0.5720430460864717
SV18	s	0.3178884351617554
SV19	s	0.3476571585995995
SV20	s	0.3602745831096714
SV21	s	0.23510083800768108
SV22	s	0.3681033078110082
SV23	s	0.5042002229608231
SV24	s	0.5370261707974875
SV25	s	0.47244550346979436
SV26	s	0.46595993656037765
SV27	s	0.17046837569668621
SV28	s	0.4740320523851105
SV29	s	0.6301726298427446
SV30	s	0.5954741714037213
SV31	s	0.46842772909588676
SV32	s	0.3834751121583662
SV33	s	0.947081066483421
SV34	s	0.3144640845925771
SV35	s	0.14279196645643033
SV36	s	0.26751784648650506
SV37	s	0.4768235864430415
SV38	s	0.17208877800100278
SV39	s	0.17977478805903963
SV40	s	0.3699931432299161
SV41	s	0.5671712944531684
SV42	s	0.22990395653908238
SV43	s	0.15811340054056347
SV44	s	0.2933989607276011
SV45	s	0.11340000663191868
SV46	s	0.33949047013837
SV47	s	0.13661153222151698
SV48	s	0.42214769724043005
SV49	s	0.2945341783785727
SV50	s	0.11388554697444205
SV51	s	0.34841991242748266
SV52	s	0.23038142896621347
SV53	s	0.3343245892095324
SV54	s	0.2315356372725794
SV55	s	0.40465645563953756
SV56	s	0.24643861517617593
SV57	s	0.318875174568954
SV58	s	0.53108601102272
SV59	s	0.1956363451439857
SV60	s	0.2750950512352061
SV61	s	0.3799329275163871
SV62	s	0.23892011763988885
SV63	s	0.23934646589414257
SV64	s	0.40340752869967295
SV65	s	0.25424184780131726
SV66	s	0.569176452445486
SV67	s	0.3121052389042325
SV68	s	0.211774674432861
SV69	s	0.35065766818135347
SV70	s	0.4876935378087803
SV71	s	0.32360717369539155
SV72	s	0.14006751177564705
SV73	s	0.18424966883886526
SV74	s	0.39531176372772375
SV75	s	0.2089058760641092
SV76	s	0.14876135109570948
SV77	s	0.2667544055142291
SV78	s	0.08793928992139784
SV79	s	0.2794588561502176
SV80	s	0.13783367177971595
SV81	s	0.31400669732046116
SV82	s	0.1628808119163165
SV83	s	0.13862557986622223
SV84	s	0.2934463523386581
SV85	s	0.2956785782650101
SV86	s	0.3469810685074873
SV87	s	0.29152358218614854
SV88	s	0.3065972351886992
SV89	s	0.3573726252004138
SV90	s	0.4364793998285751
SV91	s	0.32391733195044475
SV92	s	0.12314643590945892
SV93	s	0.35521602514069817
SV94	s	0.22553688041527012
SV95	s	0.5949194828084649
SV96	s	0.3037619032574458
SV97	s	0.27310663083222336
SV98	s	0.5555508961575497
SV99	s	0.3473681747831407
SV100	s	0.30841419863645186
SV101	s	0.5255393790814535
SV102	s	0.31552688638266246
